Component,Qty,Price (USD),Price (INR)
Custom ESP32 PCB Prototype (5 pcs),5,14.6,1219.1
Custom ESP32 PCBA Assembled (2 pcs),2,83.85,7001.475
Shipping,1,16.97,1416.995
PN532 NFC Module,1,3.041916168,254
"2.4"" SPI TFT Display",1,5.54491018,463
Mechanical Switches (Silver),10,2.99,250
Dsa keycaps,10,1.8,150
NFC cards,5,3,260
Total Cost,,131.7968263,11014.57
